,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100
SIDM00213,2.41103,-1.77943,0.52153,1.21096,-1.29074,-0.87345,-0.21745,-0.7039,0.11209,1.03598,0.281,0.00892,0.60946,-0.0308,0.05279,0.64827,-0.29495,0.4587,0.00845,0.03289,-0.05136,-0.16599,-0.05893,-0.08614,0.17153,-0.09966,0.20452,-0.93983,-0.03565,-0.35796,-0.09214,0.53318,0.00501,-0.28512,-0.97021,-0.12347,0.2117,0.06291,-0.36924,-0.33774,0.11147,-0.04133,0.19435,-0.76028,0.25896,-0.19641,-0.21847,-0.28574,0.28365,0.15449,0.63094,-0.11584,-0.26621,0.08584,0.02466,0.17422,-0.68213,-0.25655,0.09868,-0.11807,0.26539,-0.07976,0.03596,-0.21317,-0.37586,-0.46771,-0.08375,0.11231,-0.09666,0.20516,0.01552,-0.09295,0.28521,0.01866,-0.06276,-0.06987,0.18399,0.22348,-0.10801,0.30725,-0.14313,-0.23619,0.27074,-0.09073,0.31161,-0.13473,-0.15136,-0.32059,0.10515,-0.01432,-0.01329,-0.00716,-0.10181,0.08661,0.17707,0.22903,0.16791,-0.24044,0.25961,0.0488
SIDM00112,0.2622,-0.20921,0.8007,0.38731,0.08048,-0.79628,-0.0673,-1.44834,1.4222,1.28659,0.05929,-0.12949,-3.47677,-0.01737,0.25356,-0.64123,0.02243,0.7369,0.01069,-1.43821,-0.08226,0.17609,-0.14361,-0.0174,-0.07097,-0.20459,-0.43273,0.06466,0.0102,0.12449,0.2389,0.70828,-0.06728,0.01574,-0.29467,-0.0902,0.15393,-0.04316,0.50612,-1.35358,0.05791,-0.18414,0.19278,0.22056,-0.2598,-0.15582,-0.01211,-0.04778,-0.08707,-0.18435,-0.15094,0.0215,-0.00081,-0.03952,0.22062,-0.0358,0.32931,-0.1531,0.02159,-0.11794,-0.02404,0.03017,0.00565,0.39624,0.23235,-0.11265,0.01721,-0.19888,0.23804,-0.06978,0.01175,-0.14856,0.14334,-0.3148,-0.02817,0.04962,-0.19235,0.24442,0.14289,-0.14247,0.01501,-0.22518,-0.07723,-0.10712,0.14412,-0.20172,0.17405,-0.07165,0.02366,0.03666,0.06127,-0.00789,0.32001,0.05434,0.06882,0.19099,-0.23227,-0.10128,0.08745,-0.08078
SIDM00685,2.48698,-2.02374,1.15275,0.58341,-0.51312,0.22727,-0.25251,0.43387,-1.04363,0.4947,0.24012,-0.19129,0.29703,0.05793,-0.11541,0.82346,0.30315,-1.06029,-0.00947,0.80086,0.2343,0.14323,0.15505,0.22648,-0.00505,0.07486,-0.16057,-0.01271,-0.01335,-0.32346,0.47216,0.0409,0.11934,-0.08328,0.26562,0.14335,-0.11535,0.00201,0.04517,-0.4488,-0.31895,-0.19882,0.00152,-0.20278,-0.16829,0.32812,-0.015,-0.10466,-0.16905,0.41328,-0.06512,0.43039,-0.04964,0.31476,-0.27287,-0.13871,0.22974,0.34514,0.05324,0.12142,-0.44896,-0.1137,-0.21967,0.248,0.2205,0.57317,-0.03394,0.31953,0.02214,-0.1346,0.12562,-0.02057,0.21301,-0.24397,0.12247,0.27044,0.18092,0.21072,-0.10069,-0.23802,-0.07295,-0.06156,0.07425,0.17135,-0.03397,-0.55013,-0.05259,0.06256,0.14661,-0.0839,-0.08235,-0.02388,0.13326,-0.09498,-0.0684,0.21268,0.12079,-0.00926,0.07027,0.08587
SIDM00475,-0.09033,0.1941,0.41437,-0.12684,0.4363,-1.47026,0.00655,-0.9538,0.45333,0.95575,0.02831,0.10504,-1.59588,-0.48682,0.35503,-0.3781,-0.03296,0.5204,0.03432,-0.36752,-0.29662,-0.31426,0.05319,-0.08938,0.19644,-0.57548,0.17515,-0.08914,0.00217,0.85143,-0.59482,0.70803,0.20505,-0.06321,0.0769,0.10699,-0.62047,-0.19706,0.28308,-1.07842,0.15283,0.06056,-0.34293,0.28389,-0.15445,-0.09179,0.09112,0.41914,-0.10605,-0.54243,0.08137,-0.04575,-0.10166,0.1278,0.24618,0.11239,0.26961,-0.00379,-0.07678,-0.10968,0.12164,0.0543,-0.22823,1.0288,0.34314,0.07144,0.03486,0.33363,-0.27508,0.00483,-0.02976,-0.03397,0.08286,-0.06739,0.01909,0.06088,-0.16403,0.14963,-0.2224,-0.10533,0.09089,-0.01232,-0.05406,0.08212,-0.37263,0.04438,-0.08358,-0.09695,-0.06018,0.02952,-0.16396,0.42111,0.24599,0.01053,0.38944,-0.19768,-0.08261,-0.06342,0.00795,0.11535
SIDM01095,3.02233,-0.53922,-1.33232,-0.18719,0.14202,1.61352,-0.2137,1.42232,-0.77198,-0.94051,0.01555,-0.2747,-0.04377,0.25669,0.02255,-0.36604,1.00824,-0.31011,-0.05636,0.35986,0.12858,-0.6547,-0.04294,0.84358,-0.93645,-0.09877,-0.18039,0.26283,-0.02214,0.1316,0.58166,-1.72574,0.16385,-0.22777,-0.95193,0.57665,0.21356,-0.47025,0.64875,-0.64608,0.28181,0.2186,-0.10919,-0.30609,0.42403,-0.11481,-0.04277,0.13826,-0.25659,-1.44014,1.03555,0.12731,0.35948,-0.46766,0.72364,0.04413,0.0303,0.68435,0.09912,0.19834,-0.52809,-0.05422,0.42224,0.36449,-0.34556,0.4234,-0.13859,-0.3627,-0.30121,0.02057,-0.26866,0.39601,-0.18136,-0.16928,-0.64109,-0.03008,0.61053,-0.28909,-0.03073,0.25109,0.15725,-0.28392,0.13329,0.05991,0.01282,-0.86576,0.14392,-0.19268,-0.20857,-0.03891,0.28436,0.10847,0.16275,-0.13481,0.11563,0.35841,-0.0325,-0.24107,-0.20315,0.11742
SIDM00803,1.01468,-0.06421,2.03217,0.02035,1.39381,0.09744,-0.46113,-1.27941,0.3591,-0.83912,0.02194,-0.2567,-4.43683,0.35998,0.83677,-0.91354,-0.13938,-0.13094,-0.01046,1.24261,-0.00127,0.85664,-0.07067,-0.14231,0.00646,-0.3868,-0.2833,-0.23666,0.00349,0.44033,0.23229,-0.43892,-0.07552,0.18703,0.48781,-0.19301,-0.0193,0.2692,-0.02124,-0.50343,0.18937,-0.05629,-0.19072,-0.29257,0.02387,-0.29344,0.12929,-0.3216,-0.07944,0.31886,-0.28826,0.06525,0.02342,0.00426,0.04284,0.29094,0.00336,-0.18137,0.02972,-0.05382,0.10022,0.09985,0.43934,-0.29179,-0.07678,-0.30347,-0.02633,-0.14534,-0.08886,-0.09142,-0.02318,0.21172,-0.21753,0.14221,-0.06723,0.19969,-0.22274,0.03412,0.06508,0.3414,0.03473,0.04879,0.03506,0.35565,-0.00985,0.28685,-0.0113,0.16568,0.04695,-0.0441,0.01107,-0.08647,0.06821,-0.05244,0.0498,0.08801,0.12782,-0.0577,-0.04336,-0.16901
SIDM00592,-3.50413,-0.37166,0.28598,0.8893,-2.81207,0.50572,0.63723,0.67891,-1.45338,1.58226,-0.53818,0.23562,-1.09764,0.12121,0.229,-0.0359,-0.10869,-0.04844,-0.00482,-0.69594,-0.26158,-0.01664,0.15499,-0.08671,-0.14848,-0.29433,-0.256,0.35142,0.03332,0.33088,-0.13263,-0.15668,-0.45085,0.00113,0.19224,-0.15197,-0.15946,-0.21897,-0.32956,-0.75697,0.06748,0.14854,-0.1635,-0.26803,-0.16934,0.12742,-0.0687,0.07033,0.0839,-0.2765,-0.041,-0.20888,0.86114,-0.09064,-0.09414,0.18637,0.60173,0.2027,-0.11882,0.04892,0.05454,0.0482,0.1665,0.32443,0.4306,0.11792,0.01192,-0.07271,-0.19264,-0.00393,-0.01689,-0.15581,0.08997,0.02029,0.07293,0.11426,0.03612,-0.0604,0.09854,-0.0486,-0.14434,0.04563,-0.05379,0.16407,0.00485,0.16289,-0.27156,-0.09399,-0.04618,0.0649,0.01808,0.0457,-0.08252,0.16775,0.23807,0.15864,-0.02897,-0.13782,0.07136,0.08312
SIDM00324,5.27635,0.59415,-3.1026,-0.40884,-0.46219,-0.62075,-0.59846,1.29977,-1.0751,-0.15971,-0.50466,0.35104,-1.14004,5.02461,-0.03021,-2.4442,0.56055,-0.69376,-0.04795,-0.24043,0.03104,-0.11919,0.15824,0.19798,0.3682,0.05565,0.26198,0.81989,0.02455,0.45254,0.98801,-0.7317,0.00363,-0.10697,-0.13472,-0.27244,-0.66467,0.02276,1.0137,0.95321,0.10229,0.17068,0.00151,-0.3755,-0.09953,0.29176,-0.01887,-0.24571,0.23904,-0.28239,0.07005,-0.1189,0.13287,-0.08947,0.21381,0.07308,0.38336,-0.07369,-0.47688,0.14053,0.05016,0.00312,-0.38364,0.39838,-0.29503,-0.10247,0.0058,0.17271,0.01931,-0.34661,0.13344,0.11784,-0.35836,0.16415,0.05773,-0.09041,-0.21117,-0.13626,-0.12792,-0.30425,0.08682,-0.2944,-0.05228,-0.08386,0.33394,0.04248,-0.2258,0.01232,-0.06868,0.09605,-0.0977,0.10448,0.00858,-0.13944,0.01437,0.32398,-0.15203,-0.03838,0.06451,0.13247
SIDM00260,-3.37064,0.82232,2.10739,-0.2569,-0.16716,-0.16242,-0.20164,1.08547,-1.32254,-0.0665,0.24976,0.05178,-1.53758,0.53393,-0.36446,0.59084,0.12341,0.48743,-0.04376,-0.16702,0.04317,-0.10001,0.14373,-0.03062,-0.11986,0.26908,0.36588,1.18235,0.01741,0.06957,0.32849,-1.13579,-0.30054,-0.02044,0.85528,0.17752,-0.39692,0.55658,1.79223,0.84143,-0.06403,0.3073,0.01517,1.67576,-0.02987,-0.24641,0.0669,0.00475,0.31956,0.43081,-1.03286,-0.17858,0.13886,-0.07006,0.13331,-0.04551,-0.44653,0.03574,0.01202,-0.0145,-0.10859,0.10226,0.12509,0.1363,0.39255,-0.12343,-0.18298,0.1227,-0.03402,0.20333,0.1491,-0.05656,0.43703,0.33794,-0.30768,0.1234,-0.23078,-0.31799,-0.10227,0.04413,0.52482,-0.38913,-0.10076,0.07506,0.0966,0.13493,-0.07237,0.14121,0.10259,0.01751,0.12452,0.09485,-0.1196,-0.14602,0.04966,0.08396,-0.14751,-0.21709,-0.18086,-0.13647
SIDM00684,2.48615,-3.60817,0.43265,0.60545,0.80325,-0.42224,0.40176,0.5635,-0.35417,-1.10978,0.28099,-0.6094,0.19687,0.38103,-0.14574,-0.59839,0.36944,-0.4507,0.05722,0.79135,-0.01647,-0.01149,0.28283,0.03271,0.05249,0.11041,0.11945,-0.07187,0.02661,0.47762,1.73216,0.30701,-0.07332,-0.31418,-0.15523,0.31096,0.07267,0.02867,0.1466,-0.04802,0.03776,-0.21781,-0.03136,0.10551,-0.13902,0.0683,0.0704,-0.11847,-0.13964,0.11521,-0.478,0.19023,-0.3861,-0.21563,-0.07419,-0.20702,0.29819,0.37591,-0.06615,-0.08232,0.13702,-0.08663,-0.01493,-0.28653,0.92412,0.11479,0.07826,-0.08807,0.02903,-0.15825,0.14989,0.16377,-0.00381,-0.10563,-0.30217,0.17348,0.02763,-0.07389,-0.15127,0.02471,-0.33408,0.37401,-0.11662,-0.03625,0.00812,-0.32755,0.15056,0.11995,0.06381,-0.02081,0.21322,0.08017,-0.04126,-0.1042,-0.23851,-0.22354,0.02213,0.21677,-0.11331,0.09098
SIDM00102,1.02098,-0.85963,2.18735,0.02688,0.65901,0.67892,-0.10842,-0.83641,0.33813,-0.43406,-0.16331,-0.0309,-0.09637,0.27234,-0.02481,-0.11005,-0.37568,-0.18992,0.00556,-1.24851,0.20006,0.73135,-0.24867,0.11993,-0.03579,0.53639,-0.60975,0.24387,0.00694,-0.99626,0.18392,0.03685,-0.08029,-0.04915,0.14604,0.48291,0.14493,0.33584,-0.8075,-0.92078,-0.2993,0.21929,-0.06823,-0.82743,0.11857,-0.12576,-0.07482,0.04028,-0.10305,0.36253,0.19107,-0.25235,0.46908,-0.12704,0.02087,-0.03939,-0.5047,-0.00863,-0.10451,0.0683,0.0218,0.07449,-0.31729,-0.22405,-0.16506,0.41653,0.01426,-0.23674,0.11114,0.0145,0.02426,-0.04574,-0.37031,0.00822,0.0945,-0.05715,0.22751,-0.02531,0.11036,0.31283,0.1705,0.09692,-0.0733,0.07765,-0.1611,0.07981,0.17581,0.14112,0.09278,0.03283,-0.06631,-0.10266,-0.04433,-0.09338,0.2993,-0.05425,-0.10265,0.06567,-0.12817,0.00554
SIDM00156,2.69068,1.21202,-0.20866,-0.84811,-0.06019,3.02367,-0.33171,0.10213,0.4377,1.20505,-0.27777,-0.18653,-0.64293,0.67161,-0.14658,-1.23335,0.27047,-0.34931,0.03304,-0.7584,0.20967,-0.25207,0.0499,0.50042,-0.39525,0.66317,-1.06424,0.09673,-0.02909,-0.92668,-0.0127,-0.42599,-0.38393,0.02243,1.09061,-0.20735,-0.38139,0.25813,-0.09777,0.22592,-0.03102,-0.11148,0.03049,-0.70133,0.22598,-0.04188,0.12098,0.07815,0.20999,-0.10044,0.15261,0.10968,0.11984,-0.41025,0.119,-0.649,0.32324,-0.09637,-0.11252,0.01549,-0.07214,-0.02218,0.29754,-0.04174,-0.16251,0.00197,-0.03707,-0.1632,0.38293,-0.15597,0.24622,0.14999,-0.15048,0.02509,0.07989,0.27545,0.02072,0.22951,-0.19015,-0.12893,-0.05609,-0.06853,-0.00938,0.05315,0.04215,0.08251,0.07319,0.46135,0.03753,0.13535,-0.14276,0.01135,0.03293,-0.03836,0.03504,-0.16577,-0.05752,-0.13251,0.13602,-0.13368
SIDM00337,1.87607,-4.71611,0.15885,0.22367,2.33041,-0.54247,0.98689,-0.37663,1.21468,0.44536,-0.2364,-0.08583,-1.86535,0.05856,-0.20353,0.57187,0.05169,0.23235,0.03129,0.91063,-0.21956,0.02612,-0.20968,0.00891,0.1708,-0.26099,-0.57149,-0.28381,-0.02667,-0.7589,0.17385,-0.70792,0.11935,-0.15044,0.40129,-0.08304,0.14995,0.11713,-0.96136,1.9614,-0.17575,0.03637,0.03872,-0.21276,-0.12244,0.13674,0.03496,-0.2079,0.15733,-0.75016,0.25108,-0.03041,0.33007,0.14406,-0.06848,0.07621,-0.23224,-0.15087,-0.04256,-0.07922,-0.28367,0.05989,-0.0067,0.34303,0.00735,-0.04004,-0.01503,0.04652,-0.02232,0.26418,-0.0518,-0.11962,-0.06684,0.19343,0.20093,0.25078,0.22411,0.21914,0.04382,-0.00633,0.1484,-0.21484,0.10841,2e-05,-0.01346,0.14204,0.10174,-0.12319,0.06317,-0.08557,0.04974,0.02946,-0.01016,-0.00706,0.02491,0.25817,-0.07032,-0.063,0.03855,-0.03239
SIDM00744,1.08221,0.32971,1.44306,-0.17502,-0.18172,0.76169,-0.19805,-1.08135,1.58819,-0.48008,-0.00829,0.04401,0.4457,-0.64517,0.1833,-0.40916,-0.33334,-0.70862,0.04532,0.82661,0.26377,-0.38035,-0.19224,0.28661,0.27238,0.51933,0.10266,0.50171,-0.003,-0.39128,0.42791,0.13518,0.16808,-0.05821,0.37035,0.25144,-0.37531,0.25538,0.3024,0.15924,-0.01429,-0.11246,-0.23458,-0.51966,-0.16929,0.09155,-0.19549,-0.01519,-0.22318,0.29315,0.33054,0.24393,-0.46117,-0.06203,-0.21323,-0.00301,0.05939,0.01909,0.02064,-0.03706,0.13876,0.02729,-0.32282,0.16132,0.34245,0.15496,0.01307,-0.09475,0.0323,0.29417,-0.04422,-0.07339,0.15837,0.16236,0.18282,0.22479,0.41991,0.035,-0.29675,-0.03575,-0.05753,0.00334,0.04541,0.0246,0.11801,0.06156,0.07068,-0.0936,-0.12842,-0.01737,0.06252,0.02748,-0.02053,-0.22209,-0.10891,0.00586,-0.13889,-0.10874,0.15312,-0.01536
SIDM00901,2.04633,-0.58841,0.97027,-0.95689,2.22024,-1.03314,-0.43904,0.76119,-2.11414,0.96954,-0.18041,-0.1377,1.81418,0.52769,0.37063,0.66462,0.39401,-0.23486,-0.03054,-0.11196,0.14378,-0.0496,0.62971,-0.38005,-0.73935,-0.17548,-0.14929,0.43355,-0.03673,-0.26297,0.40863,0.52233,-0.14083,-0.00025,0.70305,0.42241,-1.17898,-0.41246,0.16849,0.75235,0.54929,0.0781,-0.06077,-1.33524,0.29767,0.09331,0.0166,0.15453,-0.2261,-0.41982,0.02608,-0.04278,0.36957,0.11928,0.54987,-0.29531,0.35401,0.253,0.02486,0.08473,-0.14978,0.10174,-0.10695,0.14203,0.32433,0.35109,0.16659,-0.12843,-0.02978,-0.06004,-0.04342,-0.07672,0.04628,0.15503,0.27772,0.04359,0.21257,0.16179,0.1155,0.04579,-0.18782,0.23335,-0.05878,0.07309,0.19723,0.439,-0.2638,0.23074,0.01988,-0.08905,-0.22251,-0.17439,-0.02105,0.13069,-0.13713,0.38642,0.11038,0.32365,0.00884,0.19657
SIDM00082,1.68253,-4.58367,0.67628,0.69839,1.13535,0.08072,0.70951,-0.46462,1.63056,0.83027,-0.12119,0.18457,-1.5116,0.62651,-0.23511,0.94639,-0.04895,0.60182,0.02698,0.45124,-0.0328,0.14785,-0.15205,0.05956,0.09605,-0.14643,0.01989,-0.15384,0.01026,-0.12388,0.36929,-0.64542,-0.06375,-0.16425,-0.45873,-0.01538,-0.18502,0.01843,0.59579,1.79452,-0.12219,0.09755,-0.05195,-0.90634,0.0341,-0.28714,0.0141,0.22363,0.17546,0.09286,0.28905,-0.29138,-0.42016,0.00432,-0.03319,-0.31112,0.22372,-0.20514,0.03883,-0.00126,-0.08072,0.18561,-0.01106,0.11165,-0.49268,-0.34175,-0.05933,0.08385,-0.03848,-0.16868,-0.06706,0.25216,-0.22117,-0.07577,-0.05098,0.04374,0.14551,0.11927,-0.18214,0.10867,0.23013,-0.10921,0.20113,-0.21332,0.17235,-0.05667,-0.09228,-0.09991,-0.01292,0.04151,0.01632,-0.10014,0.3284,0.15636,-0.23745,-0.05408,0.16873,-0.01014,-0.14722,0.1941
SIDM00358,0.34308,1.5326,1.81424,-0.91076,-1.88863,0.03383,0.10906,-0.18523,0.83771,2.10623,0.05262,-0.18787,-0.68404,-0.01608,-0.11989,0.95999,0.19132,-0.0397,-0.02981,-0.37064,-0.03495,-0.59695,-0.31998,0.32529,0.17813,0.52249,0.22878,0.48878,-0.04619,0.137,-0.48,-0.31058,-0.06217,0.17447,-0.28904,-0.0073,-0.08362,-0.07949,-0.00382,0.48401,-0.09483,-0.1087,0.23249,1.23413,0.1568,0.3987,0.01022,0.20268,-0.0574,-0.21185,-0.16665,0.06714,-0.58085,-0.08764,-0.01005,-0.02641,-0.40064,-0.16876,0.09255,0.08337,0.23383,-0.40137,0.01742,0.12031,-0.71481,0.15605,-0.01654,0.03492,-0.01053,0.06057,-0.07973,-0.02467,0.01596,0.13515,-0.14105,-0.02249,-0.14583,-0.05388,0.11516,-0.11137,0.17851,-0.1557,-0.00832,0.18018,0.00336,-0.01781,-0.00984,-0.11934,0.05887,-0.02895,-0.13354,-0.27462,-0.02898,-0.14532,-0.11501,-0.05309,0.01242,-0.23255,0.10892,-0.00474
SIDM00663,1.40175,-4.6928,-0.09141,0.58377,1.66379,-1.9709,1.05894,-0.58671,1.54287,0.34706,-0.04757,-0.17423,0.3637,0.28112,-0.34427,-0.19521,-0.20537,0.20291,0.04036,0.3084,-0.07628,-0.22027,-0.20285,-0.13881,-0.12604,0.06792,0.13631,-0.01529,0.03037,0.01259,0.2788,-0.06995,-0.01343,-0.09898,-0.27381,-0.21229,-0.26236,0.13315,-0.79866,0.65228,0.06271,-0.11298,-0.01735,0.09603,-0.04932,0.10209,-0.06454,-0.01154,-0.09296,-0.27896,-0.12506,-0.06762,-0.12964,-0.01624,0.14378,0.06749,0.41795,-0.05414,0.01272,-0.13974,0.06409,-0.08499,0.11719,0.26389,0.4452,0.18145,0.04058,-0.11747,-0.02942,-0.18672,0.04243,-0.016,0.31695,0.13794,-0.21416,0.05862,-0.10086,0.09987,0.11161,-0.16231,-0.00629,-0.0974,-0.03952,0.09201,-0.06955,-0.25233,-0.14907,-0.01677,0.06587,-0.06997,-0.03545,-0.08814,0.29583,0.02552,-0.05849,-0.17113,0.11861,0.1563,0.0842,0.00767
SIDM00186,-0.87033,0.70615,0.71576,-0.18656,1.43326,-2.00426,-0.10182,-1.46011,1.58793,-0.72914,0.03892,-0.24423,-3.0828,0.22571,0.69198,-0.64728,0.45701,0.97067,-0.0376,-0.09829,0.05573,0.22179,-0.21359,0.12655,-0.64697,-0.15135,-0.65163,-0.38153,0.03062,-0.03541,-1.27055,-0.01547,-0.29833,-0.12446,-1.64465,-0.5867,0.07464,-0.27629,0.28476,-1.51958,0.05111,0.00849,0.03925,0.77953,-0.36066,-0.01131,-0.03261,0.21288,0.19967,0.02773,-0.07186,0.14859,-0.45316,0.15545,0.01111,0.05596,-0.13769,-0.34689,0.13636,0.00805,0.10858,0.17862,-0.33047,-0.06206,0.82535,0.00304,0.02621,-0.24155,0.12955,0.16964,0.17187,-0.1147,-0.28705,-0.15724,0.1264,0.33396,-0.04205,-0.0936,0.0651,-0.34675,-0.13848,-0.13592,0.04386,-0.11379,0.12636,-0.23962,-0.14778,-0.07567,-0.0641,0.07478,0.16114,-0.17789,0.01866,0.03826,0.23639,-0.05949,-0.29863,0.03528,-0.11021,-0.02258
SIDM00795,1.797,-3.382,0.51838,0.23053,1.31283,1.52799,0.5699,-0.18382,0.64663,-0.48592,-0.26819,-0.07008,0.21586,0.58953,-0.35645,0.15004,0.24191,-0.49385,0.00687,0.19275,0.19114,0.001,-0.17805,0.32266,0.04694,-0.03991,-0.01753,-0.40927,0.03503,0.98664,0.92892,0.23183,0.08407,-0.18903,0.29017,0.30236,0.41716,0.17777,0.85814,0.63195,-0.05865,-0.31534,-0.11896,0.19491,-0.08458,0.13612,0.24843,-0.05739,-0.19862,0.36594,-0.31964,0.28828,-0.89405,-0.09594,-0.04319,-0.1733,0.07778,0.23389,-0.02457,0.15626,0.14511,0.09067,0.2183,0.02208,1.21862,-0.07401,0.04312,-0.0405,0.06282,-0.02249,0.05815,0.2393,0.0493,-0.24716,-0.07067,-0.07417,-0.12148,-0.16837,0.17465,-0.35868,-0.29356,0.40654,-0.03403,0.07668,0.11703,0.10238,-0.05123,-0.03044,0.03937,-0.09173,-0.06741,0.01083,-0.00304,-0.2498,-0.10993,-0.27949,0.21582,0.15952,-0.20784,-0.03521
SIDM00832,-4.75732,2.17195,-1.85007,0.74313,2.28088,0.97894,-0.39103,0.50289,1.84501,0.94771,-0.21224,-0.63576,0.42938,-0.30335,0.03531,0.55424,0.1349,-0.23975,0.01271,-1.26268,-0.08568,0.13992,-0.15869,0.40284,0.30955,0.01686,0.31965,-0.11383,0.02911,-0.41881,0.07453,0.03283,-0.12833,-0.05865,-0.26963,0.22108,0.11402,0.04547,-0.9,0.94709,-0.06596,-0.13363,0.21348,0.04948,-0.06947,-0.00066,-0.29042,0.02975,-0.24938,-0.14325,0.08547,0.03687,-0.27756,-0.04814,0.00361,0.82758,-0.35107,-0.01202,-0.06543,-0.04597,-0.00326,-0.10894,0.0292,0.16875,-0.50946,0.05929,-0.11543,-0.10606,0.06689,0.03982,0.02899,-0.16606,-0.12307,-0.09681,0.04166,-0.16218,0.04955,-0.24791,0.05769,0.22133,-0.20001,0.01771,0.00596,-0.00452,-0.02856,0.11984,0.19162,0.08983,-0.04133,0.03814,0.01049,0.05021,-0.06778,-0.09822,-0.13141,0.07791,-0.19217,0.00842,-0.02118,0.08087
SIDM00223,2.04042,1.35984,-4.81788,0.17274,-2.12402,-0.23933,0.13087,-0.12022,1.39002,-2.33474,0.40297,0.32583,-1.4316,-0.78575,0.10908,0.51733,-0.23304,-0.16889,0.0025,-0.23646,-0.10673,0.37127,0.22563,0.00935,-0.27125,0.36075,-0.16549,-0.11962,0.02732,-0.01199,0.66614,0.4456,0.07697,0.05818,-0.09867,-0.0005,0.0264,0.15943,0.65967,0.858,-0.1523,-0.05399,0.06123,0.32477,0.112,-0.51524,-0.13976,-0.08885,-0.0476,-0.47012,-0.45089,0.08821,0.05666,-0.04258,0.03717,0.16253,0.22347,-0.13877,-0.29563,0.17507,-0.0312,0.31569,-0.00402,0.43406,-0.40085,0.15441,0.00207,-0.27542,0.01922,0.53774,-0.1585,0.23363,0.06528,-0.16072,-0.02124,-0.10754,0.4388,0.14764,0.04007,-0.01445,-0.14894,-0.12155,0.01191,-0.22943,-0.10006,0.38177,0.0117,-0.06151,-0.05031,0.06835,0.01677,0.19429,-0.1298,-0.1127,0.15412,0.10702,-0.22805,-0.03264,-0.29332,-0.0483
SIDM00097,-1.82437,0.32564,0.70314,-0.30575,-0.36677,-0.82416,-0.04934,-0.03199,-1.34795,3.61985,0.94029,0.41684,3.22382,0.05879,0.23189,0.00797,0.32415,0.31686,-0.04078,-0.40278,0.17087,0.75998,-0.44748,-0.1337,-0.22751,-0.02422,-0.54243,-0.06716,0.03898,0.13402,-0.12039,-0.06756,-0.123,-0.27126,0.48416,0.06063,0.09246,0.06524,0.3081,1.05893,-0.17089,-0.14347,0.39388,-0.17934,-0.08178,0.06934,-0.14625,0.34254,0.00556,-0.49304,0.2758,0.19631,-0.40032,0.0769,0.15562,0.11875,0.9911,-0.06635,0.08973,-0.05846,-0.00076,0.06265,-0.17095,-0.98541,-0.24953,0.25449,0.05252,0.0763,0.27548,0.22154,0.20922,0.02823,0.13218,0.00632,-0.10311,0.15473,-0.08013,-0.24852,0.04528,0.12282,-0.13911,-0.17779,-0.08136,0.01614,0.37431,-0.13411,0.32775,-0.10691,0.10229,-0.08006,-0.31339,-0.03501,-0.05855,-0.03778,-0.15189,-0.35948,0.13351,0.16644,0.10207,-0.13434
SIDM00193,-5.0501,2.81793,-1.01379,0.21177,2.54579,0.64476,-0.32147,0.49093,1.3734,-0.59882,-0.2978,-0.76587,1.68153,-0.21589,-0.07844,-0.07715,-0.23036,-0.36357,0.04416,-0.99096,-0.06456,0.32809,0.01012,0.2205,-0.00653,-0.03581,0.50106,-0.40375,0.02177,0.25676,-0.18547,0.01987,-0.05441,-0.03722,-0.02959,0.13218,0.35789,0.19159,-1.20401,0.54023,-0.0625,0.24711,-0.04413,-0.19828,0.03045,-0.26872,-0.0878,0.02923,0.3563,0.16954,0.16211,-0.04625,-0.27986,0.07695,-0.14794,0.51133,-0.31219,-0.15459,-0.02309,-0.08733,-0.12127,-0.11732,-0.01632,0.05741,0.29298,-0.22816,0.06791,0.11931,-0.08766,0.11841,0.08404,0.10805,-0.27997,0.14979,0.06654,0.29154,0.01522,0.10444,-0.19987,-0.08617,-0.0727,-0.38607,-0.13508,0.10456,0.09674,-0.01855,0.25798,-0.07806,0.19202,-0.0515,0.06685,-0.07406,0.24524,0.10056,0.13193,0.01239,0.16066,0.26227,-0.20875,-0.08246
